Statistical profiling result from isolate-0x103000000-v8.log, (2732 ticks, 192 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18    0.7%          /usr/lib/system/libsystem_pthread.dylib
     11    0.4%          /usr/lib/system/libsystem_malloc.dylib
      5    0.2%          /usr/lib/system/libsystem_platform.dylib
      3    0.1%          /usr/lib/system/libsystem_c.dylib
      3    0.1%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     75    2.7%    2.8%  Builtin: KeyedLoadIC_Megamorphic
     71    2.6%    2.6%  Builtin: InterpreterEntryTrampoline
     36    1.3%    1.3%  StoreIC: A store IC from the snapshot
     29    1.1%    1.1%  Builtin: CallFunction_ReceiverIsAny
     26    1.0%    1.0%  LoadIC: A load IC from the snapshot
     23    0.8%    0.9%  KeyedLoadIC: A keyed load IC from the snapshot
     16    0.6%    0.6%  Builtin: StringPrototypeSlice
     16    0.6%    0.6%  Builtin: StringCharCodeAt
     16    0.6%    0.6%  Builtin: RegExpPrototypeTest
     14    0.5%    0.5%  Builtin: ArgumentsAdaptorTrampoline
     13    0.5%    0.5%  Builtin: Call_ReceiverIsAny
     12    0.4%    0.4%  Stub: StringAddStub
     12    0.4%    0.4%  LazyCompile: ~pp$6.processComment /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:4498:32
     12    0.4%    0.4%  Builtin: RegExpPrototypeExec
     12    0.4%    0.4%  Builtin: LoadIC_Noninlined
     11    0.4%    0.4%  Builtin: KeyedStoreIC_Megamorphic_Strict
      9    0.3%    0.3%  Stub: CEntryStub
      8    0.3%    0.3%  LazyCompile: *walkAST /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-walk/index.js:4:17
      7    0.3%    0.3%  LazyCompile: *pp$7.readString /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2925:29
      7    0.3%    0.3%  LazyCompile: *pp$7.readString /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:3182:27
      7    0.3%    0.3%  LazyCompile: *pp$3.parseSubscripts /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1883:32
      7    0.3%    0.3%  LazyCompile: *pp$3.parseExprAtom /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:1759:32
      7    0.3%    0.3%  LazyCompile: *init /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:517:39
      7    0.3%    0.3%  KeyedStoreIC: A keyed store IC from the snapshot
      7    0.3%    0.3%  Builtin: StringPrototypeCharCodeAt
      7    0.3%    0.3%  Builtin: StringEqual
